BI00B1200    7504T220927    202210207340-9316-0W             J/B ASS'Y                CCN000000100000000100FN00000000020221001000000100NNED0120220928122525    4J0J  0000000100000053400000072371200    YCYC    005400370024
BI00B1200    7360T52A01     202211037288-3336-30             HOUSING MALE             CCN000001500000001500FN00000000020221201000001500NNM   20220928140927    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    7360T52A01     202211037288-3337-30             HOUSING MALE             CCN000003000000003000FN00000000020221201000003000NNM   20220928140927    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    7360T52A02     202211107288-3337-30             HOUSING MALE             CCN000001500000001500FN00000000020221201000001500NNM   20220928140927    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    7360T52A03     202211177288-3337-30             HOUSING MALE             CCN000001500000001500FN00000000020221201000001500NNM   20220928140927    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    7360T52A01     202211037288-3338-30             HOUSING MALE             CCN000006000000006000FN00000000020221201000006000NNM   20220928140927    4N0N  0000015000000086610000101201200    YCYC    005400370024
BI00B1200    7360T52A02     202211107288-3338-30             HOUSING MALE             CCN000004500000004500FN00000000020221201000004500NNM   20220928140927    4N0N  0000015000000086610000101201200    YCYC    005400370024
BI00B1200    7360T52A03     202211177288-3338-30             HOUSING MALE             CCN000004500000004500FN00000000020221201000004500NNM   20220928140927    4N0N  0000015000000086610000101201200    YCYC    005400370024
BI00B1200    7360T52A01     202211037288-3340-30             HOUSING MALE             CCN000013500000013500FN00000000020221201000013500NNM   20220928140927    4N0N  0000015000000086150000100641200    YCYC    005400370024
BI00B1200    7360T52A02     202211107288-3340-30             HOUSING MALE             CCN000013500000013500FN00000000020221201000013500NNM   20220928140927    4N0N  0000015000000086150000100641200    YCYC    005400370024
BI00B1200    7360T52A03     202211177288-3340-30             HOUSING MALE             CCN000013500000013500FN00000000020221201000013500NNM   20220928140927    4N0N  0000015000000086150000100641200    YCYC    005400370024
BI00B1200    7360T52A01     202211037288-6598-70             HOUSING MALE ASS'Y       CCN000002880000002880FN00000000020221201000002880NNM   20220928140927    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    7360T52A02     202211107288-6598-70             HOUSING MALE ASS'Y       CCN000002880000002880FN00000000020221201000002880NNM   20220928140927    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    7360T52A03     202211177288-6598-70             HOUSING MALE ASS'Y       CCN000002880000002880FN00000000020221201000002880NNM   20220928140927    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    7360T52A01     202211037289-3342                HOUSING FEMALE ASS'Y     CCN000007200000007200FN00000000020221201000007200NNM   20220928140927    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T52A02     202211107289-3342                HOUSING FEMALE ASS'Y     CCN000007200000007200FN00000000020221201000007200NNM   20220928140927    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T52A03     202211177289-3342                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020221201000004800NNM   20220928140927    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T52A01     202211037289-3342-30             HOUSING FEMALE ASS'Y     CCN000057600000057600FN00000000020221201000057600NNM   20220928140927    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T52A02     202211107289-3342-30             HOUSING FEMALE ASS'Y     CCN000057600000057600FN00000000020221201000057600NNM   20220928140927    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T52A03     202211177289-3342-30             HOUSING FEMALE ASS'Y     CCN000057600000057600FN00000000020221201000057600NNM   20220928140927    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T52A01     202211037289-5979-30             HOUSING FEMALE ASS'Y     CCN000000252000000252FN00000000020221201000000252NNM   20220928140927    1N0N  0000002520000085470000106471200    YCYC    005400370024
