BI00B32H8    @2207AKMW      20220728181B32102Y9              AVSSCS 0.5FX2 DGY/P      CCN000000300000000300FY00000030020220701000000000NNE30 20220727143749    1W    00000030000002903000000000032H8    TYTYC   000000000000LG326001
BI00B32W4    4500197435     2022081618018403951              CAVS 0.5 O               CCN000003000000003000FN00000000020220801000003000NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128032
BI00B32W4    4500197435     2022081618018403952              CAVS 0.5 P               CCN000003000000003000FN00000000020220801000003000NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128033
BI00B32W4    4500197435     2022081618018403950              CAVS 0.5 R               CCN000004500000004500FN00000000020220801000004500NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128034
BI00B32W4    4500197435     2022081618018403956              CAVS 0.5 R/G             CCN000001500000001500FN00000000020220801000001500NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128035
BI00B32W4    4500197435     2022081618018403954              CAVS 0.5 R/W             CCN000004500000004500FN00000000020220801000004500NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128036
BI00B32W4    4500197435     2022081618018403957              CAVS 0.5 R/Y             CCN000004500000004500FN00000000020220801000004500NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128037
BI00B32W4    4500197435     2022081618018403992              CAVS 0.5 V               CCN000003000000003000FN00000000020220801000003000NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128038
BI00B32W4    4500197435     2022081618018403940              CAVS 0.5 W               CCN000004500000004500FN00000000020220801000004500NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128039
BI00B32W4    4500197435     2022081618018403943              CAVS 0.5 W/B             CCN000003000000003000FN00000000020220801000003000NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128040
BI00B32W4    4500197435     2022081618018403949              CAVS 0.5 W/L             CCN000003000000003000FN00000000020220801000003000NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128041
BI00B32W4    4500197435     2022081618018403945              CAVS 0.5 W/R             CCN000001500000001500FN00000000020220801000001500NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128042
BI00B32W4    4500197435     2022081618018403970              CAVS 0.5 Y               CCN000006000000006000FN00000000020220801000006000NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128043
BI00B32W4    4500197435     2022081618018403975              CAVS 0.5 Y/R             CCN000003000000003000FN00000000020220801000003000NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128044
BI00B32W4    4500197435     2022081618018404030              CAVS 0.85 B              CCN000001000000001000FN00000000020220801000001000NNE   20220727101352W42 1W    00000100000000965000000000032W42   HJYHK-J 000000000000OM128045
BI00B32W4    4500197435     2022081618018404130              CAVS 1.25 B              CCN000004000000004000FN00000000020220801000004000NNE   20220727101352W42 1W    00000080000001378000000000032W42   HJYHK-J 000000000000OM128046
BI00B32W4    4500197435     2022081618018404160              CAVS 1.25 G              CCN000001600000001600FN00000000020220801000001600NNE   20220727101352W42 1W    00000080000001378000000000032W42   HJYHK-J 000000000000OM128047
BI00B32W4    4500197435     2022081618018404190              CAVS 1.25 L              CCN000003200000003200FN00000000020220801000003200NNE   20220727101352W42 1W    00000080000001378000000000032W42   HJYHK-J 000000000000OM128048
BI00B32W4    4500197435     2022081618018404150              CAVS 1.25 R              CCN000002400000002400FN00000000020220801000002400NNE   20220727101352W42 1W    00000080000001378000000000032W42   HJYHK-J 000000000000OM128049
BI00B32W4    4500197435     2022081618018404140              CAVS 1.25 W              CCN000001600000001600FN00000000020220801000001600NNE   20220727101352W42 1W    00000080000001378000000000032W42   HJYHK-J 000000000000OM128050
