BI00B32H8    22093 MW       2022081118007703970              AVSS 0.5F Y              CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM427011
BI00B32H8    22091 MW       2022072918007703973              AVSS 0.5F Y/B            CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM227002
BI00B32H8    22092 MW       2022080518007703973              AVSS 0.5F Y/B            CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM327009
BI00B32H8    22093 MW       2022081118007703973              AVSS 0.5F Y/B            CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM427012
BI00B32H8    22092 MW       2022080518007703975              AVSS 0.5F Y/R            CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM327010
BI00B32H8    22093 MW       2022081118007703975              AVSS 0.5F Y/R            CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM427013
BI00B32H8    22093 MW       2022081118007703990              AVSS 0.5F L              CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM427006
BI00B32H8    22091 MW       2022072918007704030              AVSS 0.75F B             CCN000003000000003000FN00000000020220901000003000NNM   20220705135828    1W    00000100000000943000000000032H8    TYTYC   000000000000LM227003
BI00B32H8    22092 MW       2022080518007704030              AVSS 0.75F B             CCN000003000000003000FN00000000020220901000003000NNM   20220705135828    1W    00000100000000943000000000032H8    TYTYC   000000000000LM327011
BI00B32H8    22093 MW       2022081118007704030              AVSS 0.75F B             CCN000003000000003000FN00000000020220901000003000NNM   20220705135828    1W    00000100000000943000000000032H8    TYTYC   000000000000LM427014
BI00B32H8    22091 MW       2022072918007704037              AVSS 0.75F B/Y           CCN000003000000003000FN00000000020220901000003000NNM   20220705135828    1W    00000100000000943000000000032H8    TYTYC   000000000000LM227004
BI00B32H8    22092 MW       2022080518007704037              AVSS 0.75F B/Y           CCN000006000000006000FN00000000020220901000006000NNM   20220705135828    1W    00000100000000943000000000032H8    TYTYC   000000000000LM327012
BI00B32H8    22093 MW       2022081118007704037              AVSS 0.75F B/Y           CCN000003000000003000FN00000000020220901000003000NNM   20220705135828    1W    00000100000000943000000000032H8    TYTYC   000000000000LM427015
