BI00B1200    2399T52719     202208257289-6160-30             HOUSING FEMALE ASS'Y     CCN000000160000000160FY00000016020220901000000000NNM00020220826141244    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B32AF    JTB2113        202210287114-4032                TERMINAL                 CCN000075000000075000FN00000000020221101000075000NNM   20220826132514    4P0P  00000750000000735000001063632AF    HBYHVTB 006400630017
BI00B32AF    JTB2114        202211047114-4032                TERMINAL                 CCN000075000000075000FN00000000020221101000075000NNM   20220826132514    4P0P  00000750000000735000001063632AF    HBYHVTB 006400630017
BI00B32AF    JTB2111        202210177114-4231-02             TERMINAL                 CCN000054000000054000FN00000000020221101000054000NNM   20220826132514    4P0P  00001800000000554400000848032AF    HBYHVTB 006400630015
BI00B32AF    JTB2112        202210217114-4231-02             TERMINAL                 CCN000216000000216000FN00000000020221101000216000NNM   20220826132514    4P0P  00001800000000554400000848032AF    HBYHVTB 006400630015
BI00B32AF    JTB2113        202210287114-4231-02             TERMINAL                 CCN000198000000198000FN00000000020221101000198000NNM   20220826132514    4P0P  00001800000000554400000848032AF    HBYHVTB 006400630015
BI00B32AF    JTB2114        202211047114-4231-02             TERMINAL                 CCN000216000000216000FN00000000020221101000216000NNM   20220826132514    4P0P  00001800000000554400000848032AF    HBYHVTB 006400630015
BI00B32AF    JTB2113        202210287114-4624-02             TERMINAL                 CCN000024000000024000FN00000000020221101000024000NNM   20220826132514    4P0P  00002400000000895200001188832AF    HBYHVTB 006400630015
BI00B32AF    JTB2111        202210177114-4728-02             TERMINAL                 CCN000480000000480000FN00000000020221101000480000NNM   20220826132514    4P0P  00003000000000510000000804232AF    HBYHVTB 006400630015
BI00B32AF    JTB2112        202210217114-4728-02             TERMINAL                 CCN000750000000750000FN00000000020221101000750000NNM   20220826132514    4P0P  00003000000000510000000804232AF    HBYHVTB 006400630015
BI00B32AF    JTB2113        202210287114-4728-02             TERMINAL                 CCN000570000000570000FN00000000020221101000570000NNM   20220826132514    4P0P  00003000000000510000000804232AF    HBYHVTB 006400630015
BI00B32AF    JTB2114        202211047114-4728-02             TERMINAL                 CCN000600000000600000FN00000000020221101000600000NNM   20220826132514    4P0P  00003000000000510000000804232AF    HBYHVTB 006400630015
BI00B32AF    JTB2112        202210217114-4729-02             TERMINAL                 CCN000090000000090000FN00000000020221101000090000NNM   20220826132514    4P0P  00003000000000516000000810232AF    HBYHVTB 006400630015
BI00B32AF    JTB2113        202210287114-4729-02             TERMINAL                 CCN000120000000120000FN00000000020221101000120000NNM   20220826132514    4P0P  00003000000000516000000810232AF    HBYHVTB 006400630015
BI00B32AF    JTB2114        202211047114-4729-02             TERMINAL                 CCN000090000000090000FN00000000020221101000090000NNM   20220826132514    4P0P  00003000000000516000000810232AF    HBYHVTB 006400630015
BI00B32AF    JTB2111        202210177114-5746-02             TERMINAL                 CCN000063000000063000FN00000000020221101000063000NNM   20220826132514    4P0P  00002100000000695100000988732AF    HBYHVTB 006400630015
BI00B32AF    JTB2112        202210217114-5746-02             TERMINAL                 CCN000084000000084000FN00000000020221101000084000NNM   20220826132514    4P0P  00002100000000695100000988732AF    HBYHVTB 006400630015
BI00B32AF    JTB2113        202210287114-5746-02             TERMINAL                 CCN000084000000084000FN00000000020221101000084000NNM   20220826132514    4P0P  00002100000000695100000988732AF    HBYHVTB 006400630015
BI00B32AF    JTB2114        202211047114-5746-02             TERMINAL                 CCN000084000000084000FN00000000020221101000084000NNM   20220826132514    4P0P  00002100000000695100000988732AF    HBYHVTB 006400630015
BI00B32AF    JTB2111        202210177114-5747-02             TERMINAL                 CCN000108000000108000FN00000000020221101000108000NNM   20220826132514    4P0P  00001800000000626400000920032AF    HBYHVTB 006400630015
BI00B32AF    JTB2112        202210217114-5747-02             TERMINAL                 CCN000216000000216000FN00000000020221101000216000NNM   20220826132514    4P0P  00001800000000626400000920032AF    HBYHVTB 006400630015
BI00B32AF    JTB2113        202210287114-5747-02             TERMINAL                 CCN000180000000180000FN00000000020221101000180000NNM   20220826132514    4P0P  00001800000000626400000920032AF    HBYHVTB 006400630015
BI00B32AF    JTB2114        202211047114-5747-02             TERMINAL                 CCN000180000000180000FN00000000020221101000180000NNM   20220826132514    4P0P  00001800000000626400000920032AF    HBYHVTB 006400630015
BI00B32AF    JTB2111        202210177114-5748-02             TERMINAL                 CCN000048000000048000FN00000000020221101000048000NNM   20220826132514    4P0P  00001200000000444000000737632AF    HBYHVTB 006400630015
BI00B32AF    JTB2112        202210217114-5748-02             TERMINAL                 CCN000096000000096000FN00000000020221101000096000NNM   20220826132514    4P0P  00001200000000444000000737632AF    HBYHVTB 006400630015
BI00B32AF    JTB2113        202210287114-5748-02             TERMINAL                 CCN000096000000096000FN00000000020221101000096000NNM   20220826132514    4P0P  00001200000000444000000737632AF    HBYHVTB 006400630015
BI00B32AF    JTB2114        202211047114-5748-02             TERMINAL                 CCN000096000000096000FN00000000020221101000096000NNM   20220826132514    4P0P  00001200000000444000000737632AF    HBYHVTB 006400630015
BI00B32AF    JTB2111        202210177114-5753-02             TERMINAL                 CCN000081000000081000FN00000000020221101000081000NNM   20220826132514    4P0P  00002700000000847800001141432AF    HBYHVTB 006400630015
BI00B32AF    JTB2112        202210217114-5753-02             TERMINAL                 CCN000108000000108000FN00000000020221101000108000NNM   20220826132514    4P0P  00002700000000847800001141432AF    HBYHVTB 006400630015
BI00B32AF    JTB2113        202210287114-5753-02             TERMINAL                 CCN000108000000108000FN00000000020221101000108000NNM   20220826132514    4P0P  00002700000000847800001141432AF    HBYHVTB 006400630015
BI00B32AF    JTB2114        202211047114-5753-02             TERMINAL                 CCN000108000000108000FN00000000020221101000108000NNM   20220826132514    4P0P  00002700000000847800001141432AF    HBYHVTB 006400630015
