BI00A32D9    C225A          202209021801W006980              IVSSH 0.35F BR           CCN000005000000005000FN00000000020220901000005000NNE   20220823151125    1W    00000250000000452000000000032D9    UEHESTO 000000000000HM328002
BI00B32W4    4500199053     2022101818018403760              CAVS 0.3 G               CCN000016000000016000FN00000000020221001000016000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A013
BI00B32W4    4500199053     2022101818018403770              CAVS 0.3 Y               CCN000012000000012000FN00000000020221001000012000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A028
BI00B32W4    4500199053     2022101818018403780              CAVS 0.3 BR              CCN000004000000004000FN00000000020221001000004000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A012
BI00B32W4    4500199053     2022101818018403790              CAVS 0.3 L               CCN000010000000010000FN00000000020221001000010000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A015
BI00B32W4    4500199053     2022101818018403792              CAVS 0.3 V               CCN000018000000018000FN00000000020221001000018000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A025
BI00B32W4    4500199053     2022101818018403761              CAVS 0.3 LG              CCN000012000000012000FN00000000020221001000012000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A018
BI00B32W4    4500199053     2022101818018403741              CAVS 0.3 GY              CCN000012000000012000FN00000000020221001000012000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A014
BI00B32W4    4500199053     2022101818018403751              CAVS 0.3 O               CCN000006000000006000FN00000000020221001000006000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A019
BI00B32W4    4500199053     2022101818018403757              CAVS 0.3 R/Y             CCN000002000000002000FN00000000020221001000002000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A023
BI00B32W4    4500199053     2022101818018403753              CAVS 0.3 R/B             CCN000002000000002000FN00000000020221001000002000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A022
BI00B32W4    4500199053     2022101818018403793              CAVS 0.3 L/B             CCN000002000000002000FN00000000020221001000002000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A016
BI00B32W4    4500199053     2022101818018403795              CAVS 0.3 L/R             CCN000002000000002000FN00000000020221001000002000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A017
BI00B32W4    4500199053     2022101818018403749              CAVS 0.3 W/L             CCN000008000000008000FN00000000020221001000008000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A027
BI00B32W4    4500199053     2022101818018403934              CAVS 0.5 B/W             CCN000012000000012000FN00000000020221001000012000NNE   20220823100130W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB12A030
BI00B32W4    4500199053     2022101818018403930              CAVS 0.5 B               CCN000019500000019500FN00000000020221001000019500NNE   20220823100130W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB12A029
BI00B32W4    4500199053     2022101818018403941              CAVS 0.5 GY              CCN000009000000009000FN00000000020221001000009000NNE   20220823100130W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB12A032
BI00B32W4    4500199053     2022101818018403950              CAVS 0.5 R               CCN000003000000003000FN00000000020221001000003000NNE   20220823100130W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB12A035
BI00B32W4    4500199053     2022101818018403952              CAVS 0.5 P               CCN000001500000001500FN00000000020221001000001500NNE   20220823100130W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB12A034
BI00B32W4    4500199053     2022101818018403960              CAVS 0.5 G               CCN000001500000001500FN00000000020221001000001500NNE   20220823100130W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB12A031
BI00B32W4    4500199053     2022101818018403961              CAVS 0.5 LG              CCN000004500000004500FN00000000020221001000004500NNE   20220823100130W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB12A033
