BI00A1200    O022K50439     202209277288-6598-70             HOUSING MALE ASS'Y       CCN000002880000002880FY00000288020221101000000000NNED0020220927154250    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    #2399T52A12    202211247174-1314-30             SEALED COVER             CCN000002400000002400FN00000000020221201000002400NNM   20220927121701    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52A12    202211247174-1315-30             SEALED COVER             CCN000013600000013600FN00000000020221201000013600NNM   20220927121701    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52A13    202211037174-1515                FRONT DOOR COVER         CCN000000600000000600FN00000000020221201000000600NNM   20220927121701    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52A14    202211107174-1515                FRONT DOOR COVER         CCN000000600000000600FN00000000020221201000000600NNM   20220927121701    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52A15    202211177174-1515                FRONT DOOR COVER         CCN000000600000000600FN00000000020221201000000600NNM   20220927121701    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52A13    202211037174-1760-50             CAP                      CCN000015000000015000FN00000000020221201000015000NNM   20220927121701    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52A14    202211107174-1760-50             CAP                      CCN000015000000015000FN00000000020221201000015000NNM   20220927121701    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52A15    202211177174-1760-50             CAP                      CCN000012000000012000FN00000000020221201000012000NNM   20220927121701    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52A13    202211037189-3034-30             HOUSING FEMALE           CCN000027200000027200FN00000000020221201000027200NNM   20220927121701    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52A14    202211107189-3034-30             HOUSING FEMALE           CCN000025600000025600FN00000000020221201000025600NNM   20220927121701    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52A16    202211247174-1515                FRONT DOOR COVER         CCN000000600000000600FN00000000020221201000000600NNM   20220927121701    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52A16    202211247174-1760-50             CAP                      CCN000012000000012000FN00000000020221201000012000NNM   20220927121701    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    2399T52A17     202211037195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020221201000025500NNM   20220927121701    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52A18     202211107195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020221201000025500NNM   20220927121701    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52A19     202211177195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020221201000025500NNM   20220927121701    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52A17     202211037195-0783-08             TERMINAL                 CCN000240000000240000FN00000000020221201000240000NNM   20220927121701    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52A18     202211107195-0783-08             TERMINAL                 CCN000240000000240000FN00000000020221201000240000NNM   20220927121701    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52A19     202211177195-0783-08             TERMINAL                 CCN000210000000210000FN00000000020221201000210000NNM   20220927121701    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52A17     202211037196-0549-02             TERMINAL ALUMINIUM       CCN000038000000038000FN00000000020221201000038000NNM   20220927121701    4P0P  0000380000000059280000097921200    YCYC    006400630017
BI00B1200    2399T52A17     202211037196-0550-02             TERMINAL ALUMINIUM       CCN000128000000128000FN00000000020221201000128000NNM   20220927121701    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52A18     202211107196-0550-02             TERMINAL ALUMINIUM       CCN000096000000096000FN00000000020221201000096000NNM   20220927121701    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52A19     202211177196-0550-02             TERMINAL ALUMINIUM       CCN000096000000096000FN00000000020221201000096000NNM   20220927121701    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52A17     202211037196-0648-02             TERMINAL                 CCN000105000000105000FN00000000020221201000105000NNM   20220927121701    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52A18     202211107196-0648-02             TERMINAL                 CCN000105000000105000FN00000000020221201000105000NNM   20220927121701    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52A19     202211177196-0648-02             TERMINAL                 CCN000105000000105000FN00000000020221201000105000NNM   20220927121701    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52A17     202211037196-0805-02             TERMINAL FEMALE          CCN000585000000585000FN00000000020221201000585000NNM   20220927121701    4P0P  0000225000000055800000084321200    YCYC    006400630015
