BI00B1200    2399T52913     202210067196-0550-02             TERMINAL ALUMINIUM       CCN000096000000096000FN00000000020221101000096000NNM   20220825122421    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52914     202210067196-0550-02             TERMINAL ALUMINIUM       CCN000096000000096000FN00000000020221101000096000NNM   20220825122421    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52915     202210207196-0550-02             TERMINAL ALUMINIUM       CCN000064000000064000FN00000000020221101000064000NNM   20220825122421    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52913     202210067196-0648-02             TERMINAL                 CCN000270000000270000FN00000000020221101000270000NNM   20220825122421    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52914     202210067196-0648-02             TERMINAL                 CCN000270000000270000FN00000000020221101000270000NNM   20220825122421    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52915     202210207196-0648-02             TERMINAL                 CCN000270000000270000FN00000000020221101000270000NNM   20220825122421    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52913     202210067196-0805-02             TERMINAL FEMALE          CCN000562500000562500FN00000000020221101000562500NNM   20220825122421    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52914     202210067196-0805-02             TERMINAL FEMALE          CCN000562500000562500FN00000000020221101000562500NNM   20220825122421    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52915     202210207196-0805-02             TERMINAL FEMALE          CCN000562500000562500FN00000000020221101000562500NNM   20220825122421    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    #2399T52913    202210067174-1515                FRONT DOOR COVER         CCN000009600000009600FN00000000020221101000009600NNM   20220825122421    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52914    202210067174-1515                FRONT DOOR COVER         CCN000009600000009600FN00000000020221101000009600NNM   20220825122421    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52915    202210207174-1515                FRONT DOOR COVER         CCN000009600000009600FN00000000020221101000009600NNM   20220825122421    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52913    202210067174-1760-50             CAP                      CCN000042000000042000FN00000000020221101000042000NNM   20220825122421    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52914    202210067174-1760-50             CAP                      CCN000042000000042000FN00000000020221101000042000NNM   20220825122421    2F0F  0000030000000081360000092261200    YCYC    005400370024
