BI00B1200    H322J50026     202209157298-4094-10             HOUSING FEMALE ASS'Y     CCN000006760000003380FN00000000020221001000003380NNEQ0020220901121518    4N0N  0000033800000109740000135871200    YCYC    005400370024
BI00B32AG    #XG2211CLMW    202210077158-3121-80             WIRE SEAL                CCN000020000000020000FN00000000020221101000020000NNE   20220901145738    2C0C  00002000000000118000000187332AG    XGXGY   002700430014
BI00B32AG    #XG2211CLMW    202210077158-3654-80             WIRE TUBE                CCN000120000000120000FN00000000020221101000120000NNE   20220901145738    2H0H  00004000000000104000000152232AG    XGXGY   004300270014
BI00B32AG    #XG2211CLMW    202210077182-9631-40             JOINT CONNECTOR          CCN000006000000006000FN00000000020221101000006000NNE   20220901145738    2F0F  00000300000001182000001307432AG    XGXGY   005400370024
BI00B32AG    #XG2211CLMW    202210077182-9633-40             JOINT CONNECTOR          CCN000009000000009000FN00000000020221101000009000NNE   20220901145738    2F0F  00000300000001335000001460532AG    XGXGY   005400370024
BI00B32AG    XG22124CMW     202211257B96-0805-02             TERMINAL FEMALE          CCN000022500000022500FN00000000020221201000022500NNM   20220901145848    4P0P  00002250000000558000000843232AG    XGXGY   006400630015
BI00B32AG    XG22124CMW     202211257C89-6868-30             SEALED ASSY FEMALE       CCN000005040000005040FN00000000020221201000005040NNM   20220901145848    4N0N  00000252000000839200001119232AG    XGXGY   005500360039
BI00B32AG    XG22121CMW     202211047017-1180-02             TERMINAL                 CCN000072000000072000FN00000000020221201000072000NNM   20220901145848    4P0P  00007200000001065600001229032AG    XGXGY   005100280028
BI00B32AG    XG22123CMW     202211187116-1685-02             TERMINAL                 CCN000024000000024000FN00000000020221201000024000NNM   20220901145848    4P0P  00002400000000897600001065232AG    XGXGY   005100280028
BI00B32AG    XG22124CMW     202211257116-4032                TERMINAL                 CCN000006000000006000FN00000000020221201000006000NNM   20220901145848    4P0P  00000600000000532800000818032AG    XGXGY   006400630015
BI00B32AG    XG22124CMW     202211257158-3070-80             RUBBER STOPPER           CCN000040000000040000FN00000000020221201000040000NNM   20220901145848    1C0C  00004000000000276000000333332AG    XGXGY   002700430014
BI00B32AG    XG22123CMW     202211187172-5540-80             SEALED WIRE SEAL         CCN000040000000040000FN00000000020221201000040000NNM   20220901145848    1C0C  00002000000000186000000234432AG    XGXGY   004300270014
BI00B32AG    XG22124CMW     202211257196-0805-02             TERMINAL FEMALE          CCN000022500000022500FN00000000020221201000022500NNM   20220901145848    4P0P  00002250000000558000000843232AG    XGXGY   006400630015
BI00B32AG    XG22124CMW     202211257298-3822-70             HOUSING FEMALE ASS'Y     CCN000002520000002520FN00000000020221201000002520NNM   20220901145848    4N0N  00000252000000776200001077032AG    XGXGY   005500360039
BI00B32AG    XG22122CMW     202211117327-6908                MAIN FUSE                CCN000001200000001200FN00000000020221201000001200NNM   20220901145848    4N0N  00000060000000730400000915432AG    XGXGY   005400370024
BI00B32AG    XG22123CMW     202211187327-6908                MAIN FUSE                CCN000001800000001800FN00000000020221201000001800NNM   20220901145848    4N0N  00000060000000730400000915432AG    XGXGY   005400370024
BI00B32AG    XG22124CMW     202211257327-6908                MAIN FUSE                CCN000000600000000600FN00000000020221201000000600NNM   20220901145848    4N0N  00000060000000730400000915432AG    XGXGY   005400370024
BI00B32AG    #XG22124CMW    202211257198-1371-60             HOUSING FEMALE           CCN000002000000002000FN00000000020221201000002000NNM   20220901145843    2F0F  00000200000000597800000721232AG    XGXGY   005400370024
BI00B32AG    #XG22124CMW    202211257198-1372                HOUSING FEMALE           CCN000002000000002000FN00000000020221201000002000NNM   20220901145843    2F0F  00000200000000857200000982232AG    XGXGY   005400370024
BI00B32AG    #XG22124CMW    202211257198-1373-60             HOUSING FEMALE           CCN000002000000002000FN00000000020221201000002000NNM   20220901145843    2F0F  00000200000000819400000947432AG    XGXGY   005400370024
BI00B32AG    #XG22124CMW    202211257198-2458                HOUSING FEMALE           CCN000001760000001760FN00000000020221201000001760NNM   20220901145843    2F0F  00000176000000869100001160532AG    XGXGY   005400370024
BI00B32AG    #XG22124CMW    202211257298-2459-60             LIF FEMALE ASSEMBLY      CCN000002016000002016FN00000000020221201000002016NNM   20220901145843    2N0N  00000016800000534000000729632AG    XGXGY   005400370024
BI00B32AG    XG22122GMW     202211117327-6840-3W             BATTERY FUSE             CCN000000792000000792FN00000000020221201000000792NNM   20220901145858    4N0N  00000007200001140900001355932AG    XGXGY   005500360039
BI00B32AG    XG22123GMW     202211187327-6840-3W             BATTERY FUSE             CCN000000864000000864FN00000000020221201000000864NNM   20220901145858    4N0N  00000007200001140900001355932AG    XGXGY   005500360039
BI00B32AG    XG22124GMW     202211257327-6840-3W             BATTERY FUSE             CCN000000720000000720FN00000000020221201000000720NNM   20220901145858    4N0N  00000007200001140900001355932AG    XGXGY   005500360039
BI00B32AG    #XG22123HMW    202211187158-3005-80             RUBBER STOPPER           CCN000020000000020000FN00000000020221201000020000NNM   20220901145930    2H0H  00002000000000210000000268732AG    XGXGY   002700430014
BI00B32AG    XG22124JMW     202211257196-1461-02             TERMINAL FEMALE          CCN000072000000072000FN00000000020221201000072000NNM   20220901150035    4P0P  00002400000000386400000671632AG    XGXGY   006400630015
BI00B32AG    XG22123JMW     202211187196-1462-02             TERMINAL FEMALE          CCN000021000000021000FN00000000020221201000021000NNM   20220901150035    4P0P  00002100000000352800000638032AG    XGXGY   006400630015
BI00B32AG    XG22124JMW     202211257196-1462-02             TERMINAL FEMALE          CCN000021000000021000FN00000000020221201000021000NNM   20220901150035    4P0P  00002100000000352800000638032AG    XGXGY   006400630015
