BI00B32CJ    JQN2103        202209237017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020221001000027000NNM   20220801151332    4P0P  00002700000001139400001307432CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2104        202209307017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020221001000027000NNM   20220801151332    4P0P  00002700000001139400001307432CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2105        202210077017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020221001000027000NNM   20220801151332    4P0P  00002700000001139400001307432CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2101        202209097114-4020                TERMINAL                 CCN000021000000021000FN00000000020221001000021000NNM   20220801151332    4P0P  00002100000000875700001169332CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2102        202209167114-4020                TERMINAL                 CCN000063000000063000FN00000000020221001000063000NNM   20220801151332    4P0P  00002100000000875700001169332CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237114-4020                TERMINAL                 CCN000084000000084000FN00000000020221001000084000NNM   20220801151332    4P0P  00002100000000875700001169332CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307114-4020                TERMINAL                 CCN000063000000063000FN00000000020221001000063000NNM   20220801151332    4P0P  00002100000000875700001169332CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077114-4020                TERMINAL                 CCN000063000000063000FN00000000020221001000063000NNM   20220801151332    4P0P  00002100000000875700001169332CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2102        202209167114-4021                TERMINAL                 CCN000015000000015000FN00000000020221001000015000NNM   20220801151332    4P0P  00001500000000670500000964132CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237114-4021                TERMINAL                 CCN000030000000030000FN00000000020221001000030000NNM   20220801151332    4P0P  00001500000000670500000964132CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307114-4021                TERMINAL                 CCN000030000000030000FN00000000020221001000030000NNM   20220801151332    4P0P  00001500000000670500000964132CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077114-4021                TERMINAL                 CCN000015000000015000FN00000000020221001000015000NNM   20220801151332    4P0P  00001500000000670500000964132CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2101        202209097114-4031                TERMINAL                 CCN000010500000010500FN00000000020221001000010500NNM   20220801151332    4P0P  00001050000000966000001294632CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2102        202209167114-4031                TERMINAL                 CCN000010500000010500FN00000000020221001000010500NNM   20220801151332    4P0P  00001050000000966000001294632CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2103        202209237114-4031                TERMINAL                 CCN000010500000010500FN00000000020221001000010500NNM   20220801151332    4P0P  00001050000000966000001294632CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2104        202209307114-4031                TERMINAL                 CCN000010500000010500FN00000000020221001000010500NNM   20220801151332    4P0P  00001050000000966000001294632CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2101        202209097114-4032                TERMINAL                 CCN000007500000007500FN00000000020221001000007500NNM   20220801151332    4P0P  00000750000000735000001063632CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2102        202209167114-4032                TERMINAL                 CCN000015000000015000FN00000000020221001000015000NNM   20220801151332    4P0P  00000750000000735000001063632CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2103        202209237114-4032                TERMINAL                 CCN000022500000022500FN00000000020221001000022500NNM   20220801151332    4P0P  00000750000000735000001063632CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2104        202209307114-4032                TERMINAL                 CCN000030000000030000FN00000000020221001000030000NNM   20220801151332    4P0P  00000750000000735000001063632CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2105        202210077114-4032                TERMINAL                 CCN000030000000030000FN00000000020221001000030000NNM   20220801151332    4P0P  00000750000000735000001063632CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2102        202209167114-4231-02             TERMINAL                 CCN000090000000090000FN00000000020221001000090000NNM   20220801151332    4P0P  00001800000000554400000848032CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237114-4231-02             TERMINAL                 CCN000090000000090000FN00000000020221001000090000NNM   20220801151332    4P0P  00001800000000554400000848032CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307114-4231-02             TERMINAL                 CCN000090000000090000FN00000000020221001000090000NNM   20220801151332    4P0P  00001800000000554400000848032CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077114-4231-02             TERMINAL                 CCN000108000000108000FN00000000020221001000108000NNM   20220801151332    4P0P  00001800000000554400000848032CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2102        202209167114-4624-02             TERMINAL                 CCN000024000000024000FN00000000020221001000024000NNM   20220801151332    4P0P  00002400000000895200001188832CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237114-4624-02             TERMINAL                 CCN000024000000024000FN00000000020221001000024000NNM   20220801151332    4P0P  00002400000000895200001188832CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307114-4624-02             TERMINAL                 CCN000024000000024000FN00000000020221001000024000NNM   20220801151332    4P0P  00002400000000895200001188832CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2101        202209097114-4728-02             TERMINAL                 CCN000090000000090000FN00000000020221001000090000NNM   20220801151332    4P0P  00003000000000510000000804232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2102        202209167114-4728-02             TERMINAL                 CCN000480000000480000FN00000000020221001000480000NNM   20220801151332    4P0P  00003000000000510000000804232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237114-4728-02             TERMINAL                 CCN000450000000450000FN00000000020221001000450000NNM   20220801151332    4P0P  00003000000000510000000804232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307114-4728-02             TERMINAL                 CCN000540000000540000FN00000000020221001000540000NNM   20220801151332    4P0P  00003000000000510000000804232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077114-4728-02             TERMINAL                 CCN000390000000390000FN00000000020221001000390000NNM   20220801151332    4P0P  00003000000000510000000804232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237114-4728-08             TERMINAL                 CCN000060000000060000FN00000000020221001000060000NNM   20220801151332    4P0P  00003000000000507000000801232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307114-4728-08             TERMINAL                 CCN000030000000030000FN00000000020221001000030000NNM   20220801151332    4P0P  00003000000000507000000801232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077114-4728-08             TERMINAL                 CCN000030000000030000FN00000000020221001000030000NNM   20220801151332    4P0P  00003000000000507000000801232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2101        202209097114-4729-02             TERMINAL                 CCN000030000000030000FN00000000020221001000030000NNM   20220801151332    4P0P  00003000000000516000000810232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2102        202209167114-4729-02             TERMINAL                 CCN000090000000090000FN00000000020221001000090000NNM   20220801151332    4P0P  00003000000000516000000810232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237114-4729-02             TERMINAL                 CCN000060000000060000FN00000000020221001000060000NNM   20220801151332    4P0P  00003000000000516000000810232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307114-4729-02             TERMINAL                 CCN000120000000120000FN00000000020221001000120000NNM   20220801151332    4P0P  00003000000000516000000810232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077114-4729-02             TERMINAL                 CCN000090000000090000FN00000000020221001000090000NNM   20220801151332    4P0P  00003000000000516000000810232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2101        202209097114-5746-02             TERMINAL                 CCN000042000000042000FN00000000020221001000042000NNM   20220801151332    4P0P  00002100000000695100000988732CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2102        202209167114-5746-02             TERMINAL                 CCN000084000000084000FN00000000020221001000084000NNM   20220801151332    4P0P  00002100000000695100000988732CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237114-5746-02             TERMINAL                 CCN000084000000084000FN00000000020221001000084000NNM   20220801151332    4P0P  00002100000000695100000988732CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307114-5746-02             TERMINAL                 CCN000084000000084000FN00000000020221001000084000NNM   20220801151332    4P0P  00002100000000695100000988732CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077114-5746-02             TERMINAL                 CCN000084000000084000FN00000000020221001000084000NNM   20220801151332    4P0P  00002100000000695100000988732CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2101        202209097114-5747-02             TERMINAL                 CCN000018000000018000FN00000000020221001000018000NNM   20220801151332    4P0P  00001800000000626400000920032CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2102        202209167114-5747-02             TERMINAL                 CCN000180000000180000FN00000000020221001000180000NNM   20220801151332    4P0P  00001800000000626400000920032CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237114-5747-02             TERMINAL                 CCN000180000000180000FN00000000020221001000180000NNM   20220801151332    4P0P  00001800000000626400000920032CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307114-5747-02             TERMINAL                 CCN000216000000216000FN00000000020221001000216000NNM   20220801151332    4P0P  00001800000000626400000920032CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077114-5747-02             TERMINAL                 CCN000180000000180000FN00000000020221001000180000NNM   20220801151332    4P0P  00001800000000626400000920032CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2102        202209167114-5748-02             TERMINAL                 CCN000060000000060000FN00000000020221001000060000NNM   20220801151332    4P0P  00001200000000444000000737632CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237114-5748-02             TERMINAL                 CCN000060000000060000FN00000000020221001000060000NNM   20220801151332    4P0P  00001200000000444000000737632CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307114-5748-02             TERMINAL                 CCN000084000000084000FN00000000020221001000084000NNM   20220801151332    4P0P  00001200000000444000000737632CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077114-5748-02             TERMINAL                 CCN000072000000072000FN00000000020221001000072000NNM   20220801151332    4P0P  00001200000000444000000737632CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2102        202209167114-5753-02             TERMINAL                 CCN000027000000027000FN00000000020221001000027000NNM   20220801151332    4P0P  00002700000000847800001141432CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237114-5753-02             TERMINAL                 CCN000081000000081000FN00000000020221001000081000NNM   20220801151332    4P0P  00002700000000847800001141432CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307114-5753-02             TERMINAL                 CCN000081000000081000FN00000000020221001000081000NNM   20220801151332    4P0P  00002700000000847800001141432CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077114-5753-02             TERMINAL                 CCN000054000000054000FN00000000020221001000054000NNM   20220801151332    4P0P  00002700000000847800001141432CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2101        202209097114-6041                TERMINAL                 CCN000003600000003600FN00000000020221001000003600NNM   20220801151332    4P0P  00000360000000580700000824232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2101        202209097116-1180                TERMINAL                 CCN000019500000019500FN00000000020221001000019500NNM   20220801151332    1P0P  00001950000000618200000903432CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2102        202209167116-1180                TERMINAL                 CCN000039000000039000FN00000000020221001000039000NNM   20220801151332    1P0P  00001950000000618200000903432CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237116-1180                TERMINAL                 CCN000019500000019500FN00000000020221001000019500NNM   20220801151332    1P0P  00001950000000618200000903432CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307116-1180                TERMINAL                 CCN000019500000019500FN00000000020221001000019500NNM   20220801151332    1P0P  00001950000000618200000903432CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077116-1180                TERMINAL                 CCN000039000000039000FN00000000020221001000039000NNM   20220801151332    1P0P  00001950000000618200000903432CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2101        202209097116-1685-02             TERMINAL                 CCN000024000000024000FN00000000020221001000024000NNM   20220801151332    4P0P  00002400000000897600001065232CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2102        202209167116-1685-02             TERMINAL                 CCN000024000000024000FN00000000020221001000024000NNM   20220801151332    4P0P  00002400000000897600001065232CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2103        202209237116-1685-02             TERMINAL                 CCN000024000000024000FN00000000020221001000024000NNM   20220801151332    4P0P  00002400000000897600001065232CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2104        202209307116-1685-02             TERMINAL                 CCN000024000000024000FN00000000020221001000024000NNM   20220801151332    4P0P  00002400000000897600001065232CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2105        202210077116-1685-02             TERMINAL                 CCN000024000000024000FN00000000020221001000024000NNM   20220801151332    4P0P  00002400000000897600001065232CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2102        202209167116-1686-02             TERMINAL                 CCN000021000000021000FN00000000020221001000021000NNM   20220801151332    4P0P  00002100000000869400001021632CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2102        202209167116-3153-08             TERMINAL                 CCN000027000000027000FN00000000020221001000027000NNM   20220801151332    4P0P  00002700000000461700000746932CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237116-3153-08             TERMINAL                 CCN000027000000027000FN00000000020221001000027000NNM   20220801151332    4P0P  00002700000000461700000746932CJ    QNYHVQN 006400630015
