BI00B32N1    NST2123B       2022100618007704185              AVSS 1.25F BR/R          CCN000002400000002400FN00000000020200901000002400NNE   20220919094528    1W    00000080000001389000000000032N1    TAYIPL  000000000000XP329006
BI00B32N1    NST2123B       2022100618007703759              AVSS 0.3F R/L            CCN000002000000002000FN00000000020200901000002000NNE   20220919094528    1W    00000200000000496000000000032N1    TAYIPL  000000000000XP329005
BI00B32N1    @NST2123B      20221012181D6910239              AVSSHCS 0.5FX2 B/L       CCN000057000000057000FN00000000020200901000057000NNE   20220919094527    1W    00000030000002385000000000032N1    TAYIPL  000000000000XP429001
BI00B32N1    NST2123-1      20221006180D0204141              AVSSH 1.25F GY           CCN000002400000002400FN00000000020221201000002400NNM   20220919094600    1W    00000080000001458000000000032N1    TAYIPL  000000000000XS329001
BI00B32N1    NST2123-1      2022100618007703792              AVSS 0.3F V              CCN000008000000008000FN00000000020221201000008000NNM   20220919094600    1W    00000200000000496000000000032N1    TAYIPL  000000000000XS329002
BI00B32N1    NST2123-1      2022100618007703740              AVSS 0.3F W              CCN000006000000006000FN00000000020221201000006000NNM   20220919094600    1W    00000200000000496000000000032N1    TAYIPL  000000000000XS329003
BI00B32W9    4500199690     2022101118009604453              AVS 5 R/B                CCN000000200000000200FN00000000020221001000000200NNE20 20220919135726W93 1W    00000020000005981000000000032W93   HKYHK   000000000000ZA12A019
BI00B32W9    4500199690     2022101118007704254              AVSS 2F R/W              CCN000001000000001000FN00000000020221001000001000NNE20 20220919140030W93 1W    00000050000002126400000000032W93   HKYHK   000000000000ZA12A007
BI00B32W9    4500199690     2022101118007704243              AVSS 2F W/B              CCN000000500000000500FN00000000020221001000000500NNE20 20220919140043W93 1W    00000050000002126400000000032W93   HKYHK   000000000000ZA12A008
BI00B32W9    4500199690     2022101118018404195              CAVS 1.25 L/R            CCN000000800000000800FN00000000020221001000000800NNE20 20220919140012W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZA12A078
BI00B32W9    4500199690     2022101118018403764              CAVS 0.3 G/W             CCN000002000000002000FN00000000020221001000002000NNE20 20220919135706W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZA12A027
BI00B32W9    4500199690     2022101118018403967              CAVS 0.5 G/Y             CCN000001500000001500FN00000000020221001000001500NNE20 20220919140119W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZA12A042
BI00B32W9    @4500199690    20221011181B09116K3              CAVSAS 0.3X2 GY/P        CCN000000700000000700FN00000000020221001000000700NNE20 20220919152903W93 1W    00000035000002254000000000032W93   HKYHK   000000000000ZA12A001
BI00B32W9    4500199699     2022101818000004545              AV 8 W/R                 CCN000000100000000100FN00000000020221001000000100NNE21 20220919140201W93 1W    00000010000010466200000000032W93   HKYHK   000000000000ZB22A004
BI00B32W9    4500199699     2022101118018403989              CAVS 0.5 BR/L            CCN000001500000001500FN00000000020221001000001500NNE20 20220919135853W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZB22A054
BI00B32W9    4500199699     2022101818018404118              CAVS 1.25 G/O            CCN000001600000001600FN00000000020221001000001600NNE21 20220919140319W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZB22A088
BI00B32W9    4500199699     2022101818009604443              AVS 5 W/B                CCN000000200000000200FN00000000020221001000000200NNE21 20220919141152W93 1W    00000020000005981000000000032W93   HKYHK   000000000000ZB22A035
BI00B32W9    4500199699     2022101818000004540              AV 8 W                   CCN000000100000000100FN00000000020221001000000100NNE21 20220919140215W93 1W    00000010000010466200000000032W93   HKYHK   000000000000ZB22A003
BI00B32W9    4500199699     2022101818009604345              AVS 3 W/R                CCN000000800000000800FN00000000020221001000000800NNE21 20220919140349W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZB22A025
BI00B32W9    4500199699     2022101818009604445              AVS 5 W/R                CCN000000200000000200FN00000000020221001000000200NNE21 20220919140601W93 1W    00000020000005981000000000032W93   HKYHK   000000000000ZB22A036
BI00B32W9    4500199699     2022101118009604359              AVS 3 R/L                CCN000000400000000400FN00000000020221001000000400NNE20 20220919135955W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZB22A022
BI00B32W9    4500199699     2022101118007704130              AVSS 1.25F B             CCN000000800000000800FN00000000020221001000000800NNE20 20220919135937W93 1W    00000080000001389000000000032W93   HKYHK   000000000000ZB22A006
BI00B32W9    4500199699     2022101818018403964              CAVS 0.5 G/W             CCN000003000000003000FN00000000020221001000003000NNE21 20220919140415W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZB22A057
BI00B32W9    4500199699     2022101818018404140              CAVS 1.25 W              CCN000000800000000800FN00000000020221001000000800NNE21 20220919140545W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZB22A094
BI00B32W9    4500199699     2022101818018403754              CAVS 0.3 R/W             CCN000002000000002000FN00000000020221001000002000NNE21 20220919140428W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZB22A047
BI00B32W9    4500199699     2022101118018404080              CAVS 0.85 BR             CCN000001000000001000FN00000000020221001000001000NNE20 20220919135749W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZB22A078
