BI00B32AG    XG23013GMW     202212167327-6840-3W             BATTERY FUSE             CCN000000864000000864FN00000000020230101000000864NNM   20220929120719    4N0N  00000007200001140900001355932AG    XGXGY   005500360039
BI00B32AG    XG23014GMW     202212237327-6840-3W             BATTERY FUSE             CCN000000864000000864FN00000000020230101000000864NNM   20220929120719    4N0N  00000007200001140900001355932AG    XGXGY   005500360039
BI00B32AG    #XG23011HMW    202212027158-3005-80             RUBBER STOPPER           CCN000020000000020000FN00000000020230101000020000NNM   20220929120719    2H0H  00002000000000210000000268732AG    XGXGY   002700430014
BI00B32AG    #XG23014HMW    202212237158-3005-80             RUBBER STOPPER           CCN000020000000020000FN00000000020230101000020000NNM   20220929120719    2H0H  00002000000000210000000268732AG    XGXGY   002700430014
BI00B32AG    XG23011JMW     202212027158-3167-61             WIRE SEAL                CCN000020000000020000FN00000000020230101000020000NNM   20220929120719    1C0C  00002000000000048000000096432AG    XGXGY   004300270014
BI00B32AG    XG23011JMW     202212027196-1461-02             TERMINAL FEMALE          CCN000288000000288000FN00000000020230101000288000NNM   20220929120719    4P0P  00002400000000386400000671632AG    XGXGY   006400630015
BI00B32AG    XG23012JMW     202212097196-1461-02             TERMINAL FEMALE          CCN000192000000192000FN00000000020230101000192000NNM   20220929120719    4P0P  00002400000000386400000671632AG    XGXGY   006400630015
BI00B32AG    XG23013JMW     202212167196-1461-02             TERMINAL FEMALE          CCN000336000000336000FN00000000020230101000336000NNM   20220929120719    4P0P  00002400000000386400000671632AG    XGXGY   006400630015
BI00B32AG    XG23014JMW     202212237196-1461-02             TERMINAL FEMALE          CCN000288000000288000FN00000000020230101000288000NNM   20220929120719    4P0P  00002400000000386400000671632AG    XGXGY   006400630015
BI00B32AG    XG23012JMW     202212097196-1462-02             TERMINAL FEMALE          CCN000021000000021000FN00000000020230101000021000NNM   20220929120719    4P0P  00002100000000352800000638032AG    XGXGY   006400630015
BI00B32AG    XG23014JMW     202212237196-1462-02             TERMINAL FEMALE          CCN000021000000021000FN00000000020230101000021000NNM   20220929120719    4P0P  00002100000000352800000638032AG    XGXGY   006400630015
BI00B32AG    XG23011LMW     202212027017-1180-02             TERMINAL                 CCN000144000000144000FN00000000020230101000144000NNM   20220929120719    4P0P  00007200000001065600001229032AG    XGXGY   005100280028
BI00B32AG    XG23012LMW     202212097017-1180-02             TERMINAL                 CCN000072000000072000FN00000000020230101000072000NNM   20220929120719    4P0P  00007200000001065600001229032AG    XGXGY   005100280028
BI00B32AG    XG23013LMW     202212167017-1180-02             TERMINAL                 CCN000072000000072000FN00000000020230101000072000NNM   20220929120719    4P0P  00007200000001065600001229032AG    XGXGY   005100280028
BI00B32AG    XG23014LMW     202212237017-1180-02             TERMINAL                 CCN000072000000072000FN00000000020230101000072000NNM   20220929120719    4P0P  00007200000001065600001229032AG    XGXGY   005100280028
BI00B32AG    XG23011LMW     202212027017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020230101000063000NNM   20220929120719    4P0P  00006300000001089900001266832AG    XGXGY   005100280028
BI00B32AG    XG23012LMW     202212097017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020230101000063000NNM   20220929120719    4P0P  00006300000001089900001266832AG    XGXGY   005100280028
BI00B32AG    XG23013LMW     202212167017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020230101000063000NNM   20220929120719    4P0P  00006300000001089900001266832AG    XGXGY   005100280028
BI00B32AG    XG23014LMW     202212237017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020230101000063000NNM   20220929120719    4P0P  00006300000001089900001266832AG    XGXGY   005100280028
BI00B32AG    XG23011LMW     202212027017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020230101000045000NNM   20220929120719    4P0P  00004500000001165500001318632AG    XGXGY   005100280028
BI00B32AG    XG23012LMW     202212097017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020230101000045000NNM   20220929120719    4P0P  00004500000001165500001318632AG    XGXGY   005100280028
