BI00B1200    Y022I50062     202208187289-9613-30             HOUSING FEMALE ASS'Y     CCN000003840000003840FN00000000020220901000003840NNMD0320220725151300    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    2399T52811     202209017195-0783-08             TERMINAL                 CCN000090000000090000FN00000000020221001000090000NNM   20220725121513    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52812     202209087195-0783-08             TERMINAL                 CCN000060000000060000FN00000000020221001000060000NNM   20220725121513    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52813     202209157195-0783-08             TERMINAL                 CCN000060000000060000FN00000000020221001000060000NNM   20220725121513    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52811     202209017196-0550-02             TERMINAL ALUMINIUM       CCN000128000000128000FN00000000020221001000128000NNM   20220725121513    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52812     202209087196-0550-02             TERMINAL ALUMINIUM       CCN000096000000096000FN00000000020221001000096000NNM   20220725121513    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52813     202209157196-0550-02             TERMINAL ALUMINIUM       CCN000096000000096000FN00000000020221001000096000NNM   20220725121513    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52811     202209017196-0551-02             TERMINAL ALUMINIUM       CCN000028000000028000FN00000000020221001000028000NNM   20220725121513    4P0P  0000280000000046480000085121200    YCYC    006400630017
BI00B1200    2399T52811     202209017196-0805-02             TERMINAL FEMALE          CCN000270000000270000FN00000000020221001000270000NNM   20220725121513    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52812     202209087196-0805-02             TERMINAL FEMALE          CCN000247500000247500FN00000000020221001000247500NNM   20220725121513    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52813     202209157196-0805-02             TERMINAL FEMALE          CCN000247500000247500FN00000000020221001000247500NNM   20220725121513    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52811     202209017287-9323                UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020221001000002400NNM   20220725121513    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52812     202209087287-9323                UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020221001000002400NNM   20220725121513    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52813     202209157287-9323                UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020221001000002400NNM   20220725121513    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52811     202209017288-6598-70             HOUSING MALE ASS'Y       CCN000011520000011520FN00000000020221001000011520NNM   20220725121513    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52812     202209087288-6598-70             HOUSING MALE ASS'Y       CCN000011520000011520FN00000000020221001000011520NNM   20220725121513    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52813     202209157288-6598-70             HOUSING MALE ASS'Y       CCN000011520000011520FN00000000020221001000011520NNM   20220725121513    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    #2399T52811    202209017198-1373-60             HOUSING FEMALE           CCN000008000000008000FN00000000020221001000008000NNM   20220725121513    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52812    202209087198-1373-60             HOUSING FEMALE           CCN000006000000006000FN00000000020221001000006000NNM   20220725121513    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52813    202209157198-1373-60             HOUSING FEMALE           CCN000006000000006000FN00000000020221001000006000NNM   20220725121513    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    2399T52814     202209227195-0783-08             TERMINAL                 CCN000060000000060000FN00000000020221001000060000NNM   20220725121513    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52814     202209227196-0550-02             TERMINAL ALUMINIUM       CCN000096000000096000FN00000000020221001000096000NNM   20220725121513    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52814     202209227196-0805-02             TERMINAL FEMALE          CCN000247500000247500FN00000000020221001000247500NNM   20220725121513    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52814     202209227287-9323                UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020221001000002400NNM   20220725121513    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    #2399T52814    202209227198-1373-60             HOUSING FEMALE           CCN000006000000006000FN00000000020221001000006000NNM   20220725121513    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    2399T52815     202209297195-0783-08             TERMINAL                 CCN000060000000060000FN00000000020221001000060000NNM   20220725121513    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52815     202209297196-0550-02             TERMINAL ALUMINIUM       CCN000096000000096000FN00000000020221001000096000NNM   20220725121513    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52815     202209297196-0805-02             TERMINAL FEMALE          CCN000247500000247500FN00000000020221001000247500NNM   20220725121513    4P0P  0000225000000055800000084321200    YCYC    006400630015
