BI00B32AF    JTB2092        202208197114-4032                TERMINAL                 CCN000090000000090000FN00000000020220901000090000NNM   20220704121957    4P0P  00000750000000735000001063632AF    HBYHVTB 006400630017
BI00B32AF    JTB2093        202208267114-4032                TERMINAL                 CCN000082500000082500FN00000000020220901000082500NNM   20220704121957    4P0P  00000750000000735000001063632AF    HBYHVTB 006400630017
BI00B32AF    JTB2094        202209027114-4032                TERMINAL                 CCN000090000000090000FN00000000020220901000090000NNM   20220704121957    4P0P  00000750000000735000001063632AF    HBYHVTB 006400630017
BI00B32AF    JTB2091        202208117114-4231-02             TERMINAL                 CCN000108000000108000FN00000000020220901000108000NNM   20220704121957    4P0P  00001800000000554400000848032AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197114-4231-02             TERMINAL                 CCN000180000000180000FN00000000020220901000180000NNM   20220704121957    4P0P  00001800000000554400000848032AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267114-4231-02             TERMINAL                 CCN000234000000234000FN00000000020220901000234000NNM   20220704121957    4P0P  00001800000000554400000848032AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027114-4231-02             TERMINAL                 CCN000234000000234000FN00000000020220901000234000NNM   20220704121957    4P0P  00001800000000554400000848032AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267114-4728-02             TERMINAL                 CCN000300000000300000FN00000000020220901000300000NNM   20220704121957    4P0P  00003000000000510000000804232AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027114-4728-02             TERMINAL                 CCN000750000000750000FN00000000020220901000750000NNM   20220704121957    4P0P  00003000000000510000000804232AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267114-4729-02             TERMINAL                 CCN000120000000120000FN00000000020220901000120000NNM   20220704121957    4P0P  00003000000000516000000810232AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027114-4729-02             TERMINAL                 CCN000120000000120000FN00000000020220901000120000NNM   20220704121957    4P0P  00003000000000516000000810232AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197114-5746-02             TERMINAL                 CCN000021000000021000FN00000000020220901000021000NNM   20220704121957    4P0P  00002100000000695100000988732AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267114-5746-02             TERMINAL                 CCN000063000000063000FN00000000020220901000063000NNM   20220704121957    4P0P  00002100000000695100000988732AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027114-5746-02             TERMINAL                 CCN000105000000105000FN00000000020220901000105000NNM   20220704121957    4P0P  00002100000000695100000988732AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197114-5747-02             TERMINAL                 CCN000036000000036000FN00000000020220901000036000NNM   20220704121957    4P0P  00001800000000626400000920032AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267114-5747-02             TERMINAL                 CCN000162000000162000FN00000000020220901000162000NNM   20220704121957    4P0P  00001800000000626400000920032AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027114-5747-02             TERMINAL                 CCN000270000000270000FN00000000020220901000270000NNM   20220704121957    4P0P  00001800000000626400000920032AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267114-5748-02             TERMINAL                 CCN000048000000048000FN00000000020220901000048000NNM   20220704121957    4P0P  00001200000000444000000737632AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027114-5748-02             TERMINAL                 CCN000120000000120000FN00000000020220901000120000NNM   20220704121957    4P0P  00001200000000444000000737632AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027114-5753-02             TERMINAL                 CCN000081000000081000FN00000000020220901000081000NNM   20220704121957    4P0P  00002700000000847800001141432AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197116-2891-02             TERMINAL                 CCN000015000000015000FN00000000020220901000015000NNM   20220704121957    4P0P  00001500000000982500001145932AF    HBYHVTB 005100280028
BI00B32AF    JTB2093        202208267116-2891-02             TERMINAL                 CCN000015000000015000FN00000000020220901000015000NNM   20220704121957    4P0P  00001500000000982500001145932AF    HBYHVTB 005100280028
BI00B32AF    JTB2094        202209027116-2891-02             TERMINAL                 CCN000015000000015000FN00000000020220901000015000NNM   20220704121957    4P0P  00001500000000982500001145932AF    HBYHVTB 005100280028
BI00B32AF    JTB2091        202208117116-3154-08             TERMINAL                 CCN000027000000027000FN00000000020220901000027000NNM   20220704121957    4P0P  00002700000000475200000760432AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267116-3154-08             TERMINAL                 CCN000027000000027000FN00000000020220901000027000NNM   20220704121957    4P0P  00002700000000475200000760432AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027116-3154-08             TERMINAL                 CCN000027000000027000FN00000000020220901000027000NNM   20220704121957    4P0P  00002700000000475200000760432AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197116-4020                TERMINAL                 CCN000040500000040500FN00000000020220901000040500NNM   20220704121957    4P0P  00001350000000513000000798232AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267116-4020                TERMINAL                 CCN000054000000054000FN00000000020220901000054000NNM   20220704121957    4P0P  00001350000000513000000798232AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027116-4020                TERMINAL                 CCN000027000000027000FN00000000020220901000027000NNM   20220704121957    4P0P  00001350000000513000000798232AF    HBYHVTB 006400630015
BI00B32AF    JTB2091        202208117116-4025                TERMINAL                 CCN000016000000016000FN00000000020220901000016000NNM   20220704121957    4P0P  00001600000000644800000975132AF    HBYHVTB 006400630017
BI00B32AF    JTB2092        202208197116-4025                TERMINAL                 CCN000016000000016000FN00000000020220901000016000NNM   20220704121957    4P0P  00001600000000644800000975132AF    HBYHVTB 006400630017
BI00B32AF    JTB2093        202208267116-4025                TERMINAL                 CCN000016000000016000FN00000000020220901000016000NNM   20220704121957    4P0P  00001600000000644800000975132AF    HBYHVTB 006400630017
